s1,s2
450,306
450,305
450,242
450,241
450,307
451,288
451,441
451,284
452,176
453,237
453,347
453,235
453,346
453,234
454,19
454,376
454,381
454,380
454,442
457,130
457,98
458,130
458,123
463,136
464,136
464,463
465,278
466,278
470,191
470,205
470,193
470,200
470,195
470,196
470,197
470,207
471,191
471,198
471,204
471,193
471,195
471,196
471,197
471,200
471,207
472,193
472,196
472,200
472,197
472,191
472,192
472,206
472,470
472,471
473,472
473,191
473,198
473,203
473,204
473,206
473,470
473,192
473,471
474,200
474,473
474,193
474,198
474,203
474,204
474,206
474,470
475,205
475,474
475,191
475,193
475,195
475,200
475,473
475,196
475,197
475,472
475,207
476,195
476,196
476,197
476,200
476,207
476,473
476,193
476,205
476,474
476,192
476,471
477,191
477,198
477,204
477,476
477,193
477,200
477,206
477,470
477,205
477,472
477,474
477,192
477,471
480,452
480,176
481,452
481,480
481,176
483,174
484,273
484,275
484,274
484,272
485,483
485,174
486,271
486,275
486,273
487,486
487,271
487,275
487,273
488,272
488,484
488,273
488,275
488,486
488,487
489,273
489,488
491,271
491,273
491,275
491,274
491,272
491,484
492,187
492,38
493,187
493,492
495,125
495,98
495,457
495,130
497,304
497,111
497,121
497,495
498,138
498,312
499,314
499,141
499,140
501,431
501,500
502,189
502,455
503,502
504,365
504,366
506,365
506,504
507,366
507,506
509,346
509,234
509,237
509,236
509,348
510,348
510,347
510,236
510,346
510,237
511,509
511,235
511,510
511,346
511,234
513,287
513,288
513,284
513,451
515,168
515,334
515,439
515,447
516,166
516,515
516,334
516,447
516,439
520,363
521,409
521,437
521,394
523,386
523,387
523,389
523,409
523,388
524,521
524,389
524,523
524,388
524,437
524,394
524,409
525,164
525,165
525,404
526,165
526,404
526,525
526,164
527,165
527,404
527,526
527,525
528,136
528,464
529,297
530,298
530,529
530,295
530,299
530,303
530,290
532,466
532,276
532,465
534,109
534,300
534,134
534,103
536,305
536,241
536,450
536,306
536,242
537,305
537,241
537,307
537,306
537,536
537,242
538,537
538,241
538,307
538,306
538,536
538,450
538,242
539,538
539,450
541,236
541,235
541,510
541,509
541,234
541,511
541,348
546,9
547,532
547,278
548,532
548,278
551,415
552,419
554,281
554,279
555,251
555,249
555,248
556,321
556,222
556,318
557,222
557,321
557,318
557,556
558,221
558,222
558,321
558,318
558,556
559,532
559,278
560,466
560,532
560,548
560,276
560,547
560,559
560,465
562,263
562,448
563,259
563,257
563,263
563,342
563,343
564,563
564,260
564,258
564,261
564,263
565,219
569,350
569,440
570,266
570,29
570,424
573,313
573,102
573,57
574,9
574,546
576,191
576,206
576,470
576,193
576,195
576,200
576,472
576,473
576,477
576,196
576,197
576,207
577,298
577,529
577,297
578,255
578,399
579,255
579,399
581,579
581,255
581,578
581,399
583,2
586,584
586,585
587,584
587,585
587,586
588,587
589,584
589,585
589,588
589,586
591,229
596,422
596,423
597,29
597,266
598,355
600,457
600,98
600,130
600,497
602,480
602,452
602,481
602,176
603,602
603,176
603,481
604,273
604,275
604,488
605,489
605,604
605,273
605,275
605,488
607,520
607,362
607,363
608,492
609,27
609,254
610,609
610,254
611,540
616,303
616,299
616,295
616,530
617,108
618,610
618,254
618,27
619,227
620,225
620,407
620,408
620,223
621,443
621,407
621,408
621,225
622,411
622,353
622,412
623,466
623,532
623,548
623,276
623,547
623,559
623,465
624,284
624,288
624,451
634,366
634,506
635,350
635,440
636,520
642,639
643,314
643,141
643,140
645,374
646,455
646,503
648,390
649,437
649,387
649,521
649,389
649,524
649,394
649,388
650,649
650,409
650,524
650,521
651,348
651,347
651,511
651,236
651,346
651,237
652,347
652,509
652,235
652,237
652,510
652,651
652,234
652,511
654,532
654,278
654,623
654,560
655,136
656,241
656,539
656,307
656,306
656,536
656,242
658,108
659,562
659,342
659,448
659,261
659,263
659,343
659,257
660,342
660,260
660,563
663,39
663,186
663,329
663,325
664,663
664,186
664,329
664,39
665,186
665,325
665,663
670,249
670,247
